customer_id,tenure,monthly_charges,contract_type,churn
CUST0001,15,22.5,One Year,0
CUST0002,29,33.95,Month-to-Month,0
CUST0003,55,23.18,Month-to-Month,0
CUST0004,30,70.54,Month-to-Month,0
CUST0005,70,61.95,One Year,1
CUST0006,1,95.88,Month-to-Month,1
CUST0007,44,47.79,Month-to-Month,1
CUST0008,14,29.27,Month-to-Month,1
CUST0009,45,80.37,Month-to-Month,1
CUST0010,69,32.48,One Year,0
CUST0011,71,49.32,Two Year,1
CUST0012,25,90.46,Month-to-Month,0
CUST0013,38,118.52,Month-to-Month,0
CUST0014,49,47.8,Two Year,1
CUST0015,21,57.02,Month-to-Month,1
CUST0016,10,80.91,Month-to-Month,0
CUST0017,21,66.23,One Year,0
CUST0018,42,104.29,Month-to-Month,0
CUST0019,5,100.5,One Year,1
CUST0020,9,41.1,Two Year,1
CUST0021,28,85.54,One Year,1
CUST0022,19,46.49,Month-to-Month,1
CUST0023,55,109.78,One Year,1
CUST0024,29,119.73,Month-to-Month,1
CUST0025,12,95.58,Month-to-Month,0
CUST0026,21,99.21,One Year,0
CUST0027,50,58.16,One Year,1
CUST0028,71,106.08,Month-to-Month,0
CUST0029,69,95.09,Two Year,1
CUST0030,15,49.35,Month-to-Month,1
CUST0031,1,115.38,Two Year,1
CUST0032,65,96.2,Two Year,0
CUST0033,39,104.17,Two Year,0
CUST0034,20,57.39,Month-to-Month,0
CUST0035,42,68.86,Month-to-Month,1
CUST0036,40,43.95,Month-to-Month,0
CUST0037,11,93.19,Month-to-Month,0
CUST0038,17,85.98,Two Year,0
CUST0039,34,72.77,Two Year,1
CUST0040,28,112.89,Two Year,0
CUST0041,40,59.9,Two Year,1
CUST0042,57,109.96,One Year,0
CUST0043,32,42.47,One Year,0
CUST0044,71,43.01,Month-to-Month,0
CUST0045,10,90.78,Month-to-Month,0
CUST0046,9,110.54,One Year,0
CUST0047,66,43.8,Two Year,1
CUST0048,28,73.92,Two Year,1
CUST0049,32,98.46,One Year,0
CUST0050,13,29.69,One Year,1
CUST0051,55,61.11,Two Year,0
CUST0052,13,26.06,Two Year,1
CUST0053,14,44.87,Month-to-Month,1
CUST0054,18,62.19,One Year,1
CUST0055,32,107.45,Month-to-Month,1
CUST0056,71,29.79,Two Year,0
CUST0057,12,112.64,Month-to-Month,0
CUST0058,53,68.56,Month-to-Month,1
CUST0059,8,36.46,Month-to-Month,1
CUST0060,34,112.65,One Year,1
CUST0061,55,89.66,Two Year,1
CUST0062,20,38.99,Month-to-Month,0
CUST0063,70,26.1,One Year,0
CUST0064,7,78.42,Two Year,0
CUST0065,8,116.08,Month-to-Month,0
CUST0066,9,79.5,Two Year,0
CUST0067,52,31.99,Two Year,0
CUST0068,6,81.94,One Year,1
CUST0069,34,40.43,Two Year,1
CUST0070,31,46.56,Month-to-Month,1
CUST0071,59,51.62,Month-to-Month,0
CUST0072,59,82.12,Two Year,0
CUST0073,10,73.76,Two Year,1
CUST0074,17,113.33,Month-to-Month,0
CUST0075,48,48.5,One Year,1
CUST0076,68,20.78,Two Year,1
CUST0077,14,113.89,Month-to-Month,1
CUST0078,15,108.97,Two Year,0
CUST0079,35,48.18,Month-to-Month,1
CUST0080,27,88.75,One Year,1
CUST0081,33,110.53,Month-to-Month,0
CUST0082,55,102.93,Month-to-Month,0
CUST0083,43,97.11,Two Year,1
CUST0084,21,94.12,Two Year,1
CUST0085,72,20.97,Month-to-Month,0
CUST0086,70,23.6,One Year,0
CUST0087,56,32.74,One Year,1
CUST0088,6,109.89,Month-to-Month,0
CUST0089,14,55.37,Two Year,1
CUST0090,20,112.58,Month-to-Month,0
CUST0091,23,108.14,Month-to-Month,0
CUST0092,43,98.24,One Year,0
CUST0093,35,35.92,Two Year,0
CUST0094,49,107.22,One Year,0
CUST0095,26,101.66,One Year,1
CUST0096,40,102.05,Month-to-Month,0
CUST0097,4,86.0,One Year,1
CUST0098,36,106.44,One Year,1
CUST0099,66,59.97,Two Year,1
CUST0100,4,31.53,One Year,0
CUST0101,34,23.83,Two Year,1
CUST0102,45,92.85,One Year,1
CUST0103,66,31.56,Two Year,0
CUST0104,33,24.44,One Year,0
CUST0105,67,112.56,Two Year,0
CUST0106,47,63.13,Two Year,1
CUST0107,41,86.34,Month-to-Month,1
CUST0108,65,50.93,One Year,1
CUST0109,52,89.72,Two Year,0
CUST0110,25,62.04,One Year,0
CUST0111,39,60.61,Month-to-Month,1
CUST0112,37,41.02,Two Year,1
CUST0113,60,64.18,Two Year,0
CUST0114,66,67.32,Two Year,0
CUST0115,11,48.38,Two Year,1
CUST0116,12,101.84,Month-to-Month,1
CUST0117,29,100.66,Month-to-Month,0
CUST0118,6,44.48,One Year,0
CUST0119,59,61.44,Two Year,0
CUST0120,50,69.44,Month-to-Month,0
