Date,Sales
2015-01-31,492.0
2015-02-28,531.0
2015-03-31,504.0
2015-04-30,550.0
2015-05-31,582.0
2015-06-30,548.0
2015-07-31,570.0
2015-08-31,590.0
2015-09-30,610.0
2015-10-31,
2015-11-30,614.0
2015-12-31,600.0
2016-01-31,
2016-02-29,631.0
2016-03-31,610.0
2016-04-30,633.0
2016-05-31,587.0
2016-06-30,595.0
2016-07-31,591.0
2016-08-31,599.0
2016-09-30,631.0
2016-10-31,582.0
2016-11-30,529.0
2016-12-31,500.0
2017-01-31,537.0
2017-02-28,557.0
2017-03-31,
2017-04-30,484.0
2017-05-31,
2017-06-30,507.0
2017-07-31,505.0
2017-08-31,471.0
2017-09-30,503.0
2017-10-31,461.0
2017-11-30,457.0
2017-12-31,486.0
2018-01-31,505.0
2018-02-28,445.0
2018-03-31,500.0
2018-04-30,508.0
2018-05-31,499.0
2018-06-30,496.0
2018-07-31,554.0
2018-08-31,
2018-09-30,527.0
2018-10-31,546.0
2018-11-30,
2018-12-31,599.0
2019-01-31,626.0
2019-02-28,652.0
2019-03-31,622.0
2019-04-30,629.0
2019-05-31,685.0
2019-06-30,
2019-07-31,654.0
2019-08-31,
2019-09-30,704.0
2019-10-31,700.0
2019-11-30,774.0
2019-12-31,717.0
2020-01-31,704.0
2020-02-29,726.0
2020-03-31,
2020-04-30,749.0
2020-05-31,681.0
2020-06-30,712.0
2020-07-31,675.0
2020-08-31,675.0
2020-09-30,683.0
2020-10-31,628.0
2020-11-30,641.0
2020-12-31,
